LdotV,L_up,L_right,ShadowSmooth,ShadowLocation,ExposureScale,VcamX,VcamY,VcamZ,note
0.92,-0.00,-0.10,0.09,-0.07,0.79,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=110
0.88,-0.00,0.31,0.04,-0.04,0.80,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=120
0.69,-0.00,0.67,0.01,-0.01,0.74,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=130
0.38,-0.00,0.91,0.16,0.02,0.64,0.0000,0.9247,0.3807,正面-0度-均匀24度 frame=140
-0.35,-0.91,0.42,0.90,0.01,1.20,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=0
-0.50,-0.91,0.39,1.01,0.51,0.52,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=10
-0.64,-0.91,0.28,1.01,0.51,0.44,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=20
-0.72,-0.91,0.13,1.00,0.50,0.40,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=30
-0.73,-0.91,-0.04,0.98,0.52,0.41,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=40
-0.68,-0.91,-0.21,0.93,0.57,0.45,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=50
-0.57,-0.91,-0.34,0.85,0.64,0.50,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=60
-0.43,-0.91,-0.41,0.77,0.72,0.57,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=70
-0.26,-0.91,-0.41,0.67,0.80,0.64,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=80
-0.12,-0.91,-0.34,0.52,0.90,0.78,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=90
-0.01,-0.91,-0.21,0.32,0.68,1.00,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=100
0.04,-0.91,-0.04,0.15,0.34,1.20,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=110
0.03,-0.91,0.13,0.23,0.88,1.07,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=120
-0.05,-0.91,0.28,0.39,1.79,0.81,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=130
-0.19,-0.91,0.39,0.49,1.98,0.64,0.0000,0.9247,0.3807,正面-65度-均匀24度 frame=140
